Year,Revenue_BDT_Lakhs,Operating_Costs_BDT_Lakhs,Net_Profit_BDT_Lakhs,Profit_Margin_Percent,Projects_Completed,Area_Covered_SqKm,Cumulative_Profit_BDT_Lakhs
1,30,28,2,7,6,13,2
2,96.5,47,49.5,51,17,37,51.5
3,204,68,136,67,45,75,187.5
